Order ID,Product ID,Quantity,Total
CA-2017-152156,FUR-BO-10001798,5,1604.4
CA-2017-152156,FUR-CH-10000454,1,377.35
CA-2017-138688,OFF-LA-10000240,3,1208.16
US-2016-108966,FUR-TA-10000577,2,945.32
US-2016-108966,OFF-ST-10000760,4,1505.8
CA-2015-115812,FUR-FU-10001487,4,1852.4
CA-2015-115812,OFF-AR-10002833,1,38.78
CA-2015-115812,TEC-PH-10002275,4,984.68
CA-2015-115812,OFF-BI-10003910,5,2365.45
CA-2015-115812,OFF-AP-10002892,3,999.78
CA-2015-115812,FUR-TA-10001539,3,1358.79
CA-2015-115812,TEC-PH-10002033,5,393.85
CA-2018-114412,OFF-PA-10002365,3,743.43
CA-2017-161389,OFF-BI-10003656,1,142.12
US-2016-118983,OFF-AP-10002311,5,1416.45
US-2016-118983,OFF-BI-10000756,5,1488.1
CA-2015-105893,OFF-ST-10004186,2,62.46
CA-2015-167164,OFF-ST-10000107,5,639.75
CA-2015-143336,OFF-AR-10003056,5,788.75
CA-2015-143336,TEC-PH-10001949,1,460.26
CA-2015-143336,OFF-BI-10002215,4,1554.88
CA-2017-137330,OFF-AR-10000246,2,201.62
CA-2017-137330,OFF-AP-10001492,1,403.64
US-2018-156909,FUR-CH-10002774,3,272.73
CA-2016-106320,FUR-TA-10000577,3,1417.98
CA-2017-121755,OFF-BI-10001634,2,636.58
CA-2017-121755,TEC-AC-10003027,5,425.9
US-2016-150630,FUR-BO-10004834,2,51.68
US-2016-150630,OFF-BI-10000474,1,438.92
US-2016-150630,FUR-FU-10004848,4,497.96
US-2016-150630,OFF-EN-10001509,1,127.35
US-2016-150630,OFF-AR-10004042,2,983.3
US-2016-150630,OFF-BI-10001525,4,1757.56
US-2016-150630,OFF-AR-10001683,1,162.42
CA-2018-107727,OFF-PA-10000249,2,963.4
CA-2017-117590,TEC-PH-10004977,4,1124.52
CA-2017-117590,FUR-FU-10003664,1,346.97
CA-2016-117415,OFF-EN-10002986,3,366.81
CA-2016-117415,FUR-BO-10002545,1,471.96
CA-2016-117415,FUR-CH-10004218,1,353.05
CA-2016-117415,TEC-PH-10000486,5,2420.6
CA-2018-120999,TEC-PH-10004093,5,2247.65
CA-2017-101343,OFF-ST-10003479,2,333.84
CA-2018-139619,OFF-ST-10003282,5,982.85
CA-2017-118255,TEC-AC-10000171,5,519.15
CA-2017-118255,OFF-BI-10003291,2,188.42
CA-2015-146703,OFF-ST-10001713,5,279.7
CA-2017-169194,TEC-AC-10002167,4,672.6
CA-2017-169194,TEC-PH-10003988,5,1557.4
CA-2016-115742,OFF-BI-10004410,5,133.05
CA-2016-115742,OFF-LA-10002762,4,1388.08
CA-2016-115742,FUR-FU-10001706,3,556.5
CA-2016-115742,FUR-CH-10003061,1,172.23
CA-2017-105816,OFF-FA-10000304,2,827.6
CA-2017-105816,TEC-PH-10002447,2,506.7
CA-2017-111682,OFF-ST-10000604,5,875.0
CA-2017-111682,OFF-PA-10001569,4,1014.32
CA-2017-111682,FUR-CH-10003968,5,1798.6
CA-2017-111682,OFF-PA-10000587,3,156.24
CA-2017-111682,TEC-AC-10002167,5,840.75
