Order ID,Order Date,Ship Date,Address,State,Ship Mode ID,Customer ID
CA-2017-152156,2017-11-08,2017-11-11,"United States, Henderson, 42420.0",Kentucky,S2,CG-12520
CA-2017-138688,2017-06-12,2017-06-16,"United States, Los Angeles, 90036.0",California,S2,DV-13045
US-2016-108966,2016-10-11,2016-10-18,"United States, Fort Lauderdale, 33311.0",Florida,S3,SO-20335
CA-2015-115812,2015-06-09,2015-06-14,"United States, Los Angeles, 90032.0",California,S3,BH-11710
CA-2018-114412,2018-04-15,2018-04-20,"United States, Concord, 28027.0",North Carolina,S3,AA-10480
CA-2017-161389,2017-12-05,2017-12-10,"United States, Seattle, 98103.0",Washington,S3,IM-15070
US-2016-118983,2016-11-22,2016-11-26,"United States, Fort Worth, 76106.0",Texas,S3,HP-14815
CA-2015-105893,2015-11-11,2015-11-18,"United States, Madison, 53711.0",Wisconsin,S3,PK-19075
CA-2015-167164,2015-05-13,2015-05-15,"United States, West Jordan, 84084.0",Utah,S2,AG-10270
CA-2015-143336,2015-08-27,2015-09-01,"United States, San Francisco, 94109.0",California,S2,ZD-21925
CA-2017-137330,2017-12-09,2017-12-13,"United States, Fremont, 68025.0",Nebraska,S3,KB-16585
US-2018-156909,2018-07-16,2018-07-18,"United States, Philadelphia, 19140.0",Pennsylvania,S2,SF-20065
CA-2016-106320,2016-09-25,2016-09-30,"United States, Orem, 84057.0",Utah,S3,EB-13870
CA-2017-121755,2017-01-16,2017-01-20,"United States, Los Angeles, 90049.0",California,S2,EH-13945
US-2016-150630,2016-09-17,2016-09-21,"United States, Philadelphia, 19140.0",Pennsylvania,S3,TB-21520
CA-2018-107727,2018-10-19,2018-10-23,"United States, Houston, 77095.0",Texas,S2,MA-17560
CA-2017-117590,2017-12-08,2017-12-10,"United States, Richardson, 75080.0",Texas,S1,GH-14485
CA-2016-117415,2016-12-27,2016-12-31,"United States, Houston, 77041.0",Texas,S3,SN-20710
CA-2018-120999,2018-09-10,2018-09-15,"United States, Naperville, 60540.0",Illinois,S3,LC-16930
CA-2017-101343,2017-07-17,2017-07-22,"United States, Los Angeles, 90049.0",California,S3,RA-19885
CA-2018-139619,2018-09-19,2018-09-23,"United States, Melbourne, 32935.0",Florida,S3,ES-14080
CA-2017-118255,2017-03-11,2017-03-13,"United States, Eagan, 55122.0",Minnesota,S1,ON-18715
CA-2015-146703,2015-10-20,2015-10-25,"United States, Westland, 48185.0",Michigan,S2,PO-18865
CA-2017-169194,2017-06-20,2017-06-25,"United States, Dover, 19901.0",Delaware,S3,LH-16900
CA-2016-115742,2016-04-18,2016-04-22,"United States, New Albany, 47150.0",Indiana,S3,DP-13000
CA-2017-105816,2017-12-11,2017-12-17,"United States, New York City, 10024.0",New York,S3,JM-15265
CA-2017-111682,2017-06-17,2017-06-18,"United States, Troy, 12180.0",New York,S1,TB-21055
CA-2016-135545,2016-11-24,2016-11-30,"United States, Los Angeles, 90004.0",California,S3,KM-16720
US-2016-164175,2016-04-30,2016-05-05,"United States, Chicago, 60610.0",Illinois,S3,PS-18970
CA-2015-106376,2015-12-05,2015-12-10,"United States, Gilbert, 85234.0",Arizona,S3,BS-11590
CA-2017-119823,2017-06-04,2017-06-06,"United States, Springfield, 22153.0",Virginia,S1,KD-16270
CA-2017-106075,2017-09-18,2017-09-23,"United States, New York City, 10009.0",New York,S3,HM-14980
CA-2018-114440,2018-09-14,2018-09-17,"United States, Jackson, 49201.0",Michigan,S2,TB-21520
US-2016-134026,2016-04-26,2016-05-02,"United States, Memphis, 38109.0",Tennessee,S3,JE-15745
US-2018-118038,2018-12-09,2018-12-11,"United States, Houston, 77041.0",Texas,S1,KB-16600
US-2015-147606,2015-11-26,2015-12-01,"United States, Houston, 77070.0",Texas,S2,JE-15745
CA-2017-127208,2017-06-12,2017-06-15,"United States, Decatur, 35601.0",Alabama,S1,SC-20770
CA-2015-139451,2015-10-12,2015-10-16,"United States, San Francisco, 94122.0",California,S3,DN-13690
CA-2016-149734,2016-09-03,2016-09-08,"United States, Durham, 27707.0",North Carolina,S3,JC-16105
US-2018-119662,2018-11-13,2018-11-16,"United States, Chicago, 60623.0",Illinois,S1,CS-12400
CA-2018-140088,2018-05-28,2018-05-30,"United States, Columbia, 29203.0",South Carolina,S2,PO-18865
CA-2018-155558,2018-10-26,2018-11-02,"United States, Rochester, 55901.0",Minnesota,S3,PG-18895
CA-2017-159695,2017-04-05,2017-04-10,"United States, Houston, 77095.0",Texas,S2,GM-14455
